seed,method,budget_steps,parameters,fp32_accuracy_pct,tflite_accuracy_pct,host_operator_count,npu_partition_count,boundary_tensor_count,nn_macs,cycles_total,sram_memory_used_kib
17,teacher,,7690,49.67,48.86,6,7,12,5212674,377254,144.078125
17,continuation,80,7690,50.29,49.95,6,7,12,5212674,377254,144.078125
17,operatorwise,80,7690,47.95,47.82,0,1,0,5179904,53794,37.25
17,regionwise,80,5674,42.49,42.53,0,1,0,3082752,50238,33.734375
17,single_region,80,6682,48.09,47.74,3,4,6,4147713,213746,144.078125
17,small_student,80,5674,40.71,40.65,0,1,0,3082752,50382,33.75
17,continuation,320,7690,50.7,50.65,6,7,12,5212674,377254,144.078125
17,operatorwise,320,7690,50.44,50.47,0,1,0,5179904,53778,37.21875
17,regionwise,320,5674,46.83,46.8,0,1,0,3082752,50262,33.75
17,single_region,320,6682,50.77,50.26,3,4,6,4147713,213738,144.078125
17,small_student,320,5674,46.64,46.6,0,1,0,3082752,50302,33.765625
29,teacher,,7690,48.06,47.82,6,7,12,5212674,377302,144.078125
29,continuation,80,7690,48.06,47.82,6,7,12,5212674,377302,144.078125
29,operatorwise,80,7690,46.07,46.05,0,1,0,5179904,53842,37.25
29,regionwise,80,5674,44.0,44.2,0,1,0,3082752,50294,33.75
29,single_region,80,6682,46.17,45.93,3,4,6,4147713,213802,144.078125
29,small_student,80,5674,40.07,40.32,0,1,0,3082752,50334,33.75
29,continuation,320,7690,48.38,47.97,6,7,12,5212674,377158,144.078125
29,operatorwise,320,7690,46.97,47.05,0,1,0,5179904,53842,37.234375
29,regionwise,320,5674,46.95,46.89,0,1,0,3082752,50310,33.734375
29,single_region,320,6682,47.79,47.59,3,4,6,4147713,213818,144.078125
29,small_student,320,5674,46.69,46.74,0,1,0,3082752,50294,33.75
43,teacher,,7690,48.4,48.69,6,7,12,5212674,377270,144.078125
43,continuation,80,7690,48.92,48.69,6,7,12,5212674,377270,144.078125
43,operatorwise,80,7690,46.96,47.05,0,1,0,5179904,53794,37.359375
43,regionwise,80,5674,40.83,40.77,0,1,0,3082752,50262,33.75
43,single_region,80,6682,45.61,45.35,3,4,6,4147713,213762,144.078125
43,small_student,80,5674,40.59,40.51,0,1,0,3082752,50398,33.765625
43,continuation,320,7690,49.49,49.1,6,7,12,5212674,377270,144.078125
43,operatorwise,320,7690,48.78,49.07,0,1,0,5179904,53794,37.34375
43,regionwise,320,5674,44.57,44.55,0,1,0,3082752,50270,33.75
43,single_region,320,6682,48.66,47.8,3,4,6,4147713,213770,144.078125
43,small_student,320,5674,47.36,47.38,0,1,0,3082752,50350,33.75
